task_id,t1,t2,t3,t4,t5,response_ms,db_time_ms,non_db_time_ms,deadline_hit,in_burst
52,25500,25505.682564866856,25505.682564866856,25608.38578866678,25608.38578866678,108.38578866677926,102.70322379992407,5.682564866855188,True,True
53,26000,26005.833447057066,26005.833447057066,26035.833447057066,26035.833447057066,35.83344705706622,30,5.833447057066223,True,True
54,26500,26505.740733799386,26505.740733799386,26597.654332649105,26597.654332649105,97.65433264910462,91.91359884971989,5.740733799384728,True,True
55,27000,27004.975989147722,27004.975989147722,27096.101524648264,27096.101524648264,96.10152464826388,91.12553550053963,4.975989147724249,True,True
56,27500,27504.532345110973,27504.532345110973,27596.17297665122,27596.17297665122,96.17297665122169,91.64063154025048,4.532345110971207,True,True
57,28000,28004.58377255092,28004.58377255092,28110.11202721478,28110.11202721478,110.11202721477821,105.5282546638584,4.583772550919804,True,True
58,28500,28505.185171052275,28505.185171052275,28624.930943576393,28624.930943576393,124.93094357639347,119.74577252412008,5.18517105227339,True,True
59,29000,29004.62147665362,29004.62147665362,29059.421690223022,29059.421690223022,59.42169022302187,54.80021356939992,4.621476653621947,True,True
60,29500,29504.390898117887,29504.390898117887,29574.060581513113,29574.060581513113,74.060581513113,69.66968339522688,4.39089811788611,True,True
61,30000,30004.151524882844,30004.151524882844,30017.776980443727,30017.776980443727,17.776980443726643,13.625455560881298,4.1515248828453455,True,False
62,30500,30504.402890707355,30504.402890707355,30515.51935404133,30515.51935404133,15.519354041331098,11.116463333975958,4.402890707355141,True,False
63,31000,31004.547112527885,31004.547112527885,31025.486370483995,31025.486370483995,25.486370483995415,20.939257956109675,4.547112527885741,True,False
64,31500,31505.928323842796,31505.928323842796,31528.420011061135,31528.420011061135,28.420011061134574,22.491687218338157,5.928323842796416,True,False
65,32000,32005.28634070032,32005.28634070032,32020.519829389574,32020.519829389574,20.519829389573715,15.233488689252011,5.286340700321704,True,False
66,32500,32504.85866698258,32504.85866698258,32525.135854653818,32525.135854653818,25.13585465381766,20.27718767123769,4.858666982579969,True,False
67,33000,33005.663594810285,33005.663594810285,33027.30383507129,33027.30383507129,27.30383507128863,21.640240261004642,5.663594810283989,True,False
68,33500,33505.91700579314,33505.91700579314,33528.631892043464,33528.631892043464,28.631892043464177,22.71488625032203,5.917005793142145,True,False
69,34000,34005.96422539354,34005.96422539354,34036.07032375911,34036.07032375911,36.07032375910785,30.10609836557228,5.964225393535571,True,False
70,34500,34504.59108563304,34504.59108563304,34520.22215505484,34520.22215505484,20.222155054842005,15.631069421801042,4.591085633040963,True,False
71,35000,35005.76457843654,35005.76457843654,35035.519089179834,35035.519089179834,35.51908917983383,29.75451074329601,5.764578436537818,True,False
72,35500,35505.54722011576,35505.54722011576,35526.0468269892,35526.0468269892,26.04682698920078,20.499606873437425,5.547220115763356,True,False
73,36000,36005.516957532185,36005.516957532185,36034.040331695076,36034.040331695076,34.04033169507602,28.52337416288988,5.51695753218614,True,False
74,36500,36505.84353508331,36505.84353508331,36533.66788429653,36533.66788429653,33.66788429652661,27.824349213218014,5.843535083308595,True,False
75,37000,37005.921431828814,37005.921431828814,37020.13761668675,37020.13761668675,20.137616686748515,14.21618485793374,5.921431828814775,True,False
76,37500,37505.58936722834,37505.58936722834,37521.3065240402,37521.3065240402,21.306524040199292,15.7171568118585,5.589367228340793,True,False
77,38000,38004.112706224696,38004.112706224696,38036.52833049177,38036.52833049177,36.52833049176843,32.41562426707078,4.1127062246976465,True,False
78,38500,38505.3337336633,38505.3337336633,38527.68570082316,38527.68570082316,27.685700823160005,22.35196715986324,5.333733663296766,True,False
79,39000,39005.634517828665,39005.634517828665,39016.96927503798,39016.96927503798,16.969275037983607,11.3347572093157,5.6345178286679065,True,False
80,39500,39505.97100841939,39505.97100841939,39519.41704462988,39519.41704462988,19.417044629881275,13.446036210491812,5.971008419389463,True,False
81,40000,40005.58971209257,40005.58971209257,40031.96801756661,40031.96801756661,31.96801756660716,26.3783054740324,5.589712092574761,True,False
82,40500,40504.276102590724,40504.276102590724,40523.83327255038,40523.83327255038,23.83327255037875,19.55716995965725,4.2761025907215,True,False
83,41000,41004.713884865625,41004.713884865625,41022.572130110806,41022.572130110806,22.57213011080603,17.85824524517964,4.71388486562639,True,False
84,41500,41505.62461038313,41505.62461038313,41521.109433915684,41521.109433915684,21.10943391568435,15.484823532553992,5.624610383130356,True,False
85,42000,42005.274395967106,42005.274395967106,42037.95305652719,42037.95305652719,37.95305652719253,32.678660560084076,5.274395967108454,True,False
86,42500,42504.32105628815,42504.32105628815,42519.592916229834,42519.592916229834,19.592916229834373,15.271859941681107,4.321056288153265,True,False
