task,scheduled_us,start_us,latency_us,exec_us
Sensor,1767954739812042,1767954741427104,1615062,16004
Sensor,1767954740012042,1767954741648607,1636565,16002
Sensor,1767954740212042,1767954741909496,1697454,16000
Sensor,1767954740412042,1767954742141915,1729873,16001
Sensor,1767954740612042,1767954742365445,1753403,16004
Sensor,1767954740812042,1767954742587458,1775416,16002
Sensor,1767954741012042,1767954742809288,1797246,16002
Sensor,1767954741212042,1767954743071195,1859153,16000
Sensor,1767954741412042,1767954743303387,1891345,16005
Sensor,1767954741612042,1767954743525613,1913571,16001
Sensor,1767954741812042,1767954743747293,1935251,16003
Sensor,1767954742012042,1767954743969129,1957087,16005
Sensor,1767954742212042,1767954744235080,2023038,16002
Sensor,1767954742412042,1767954744464948,2052906,16003
Sensor,1767954742612042,1767954744688233,2076191,16005
Sensor,1767954742812042,1767954744910684,2098642,16004
Sensor,1767954743012042,1767954745134383,2122341,16002
Sensor,1767954743212042,1767954745397877,2185835,16001
Sensor,1767954743412042,1767954745627688,2215646,16001
Sensor,1767954743612042,1767954745850191,2238149,16005
Sensor,1767954743812042,1767954746072337,2260295,16000
Sensor,1767954744012042,1767954746294360,2282318,2001
Sensor,1767954744212042,1767954746509792,2297750,2001
Sensor,1767954744412042,1767954746720166,2308124,2003
Sensor,1767954744612042,1767954746930346,2318304,2005
Sensor,1767954744812042,1767954747138554,2326512,2005
Sensor,1767954745012042,1767954747346272,2334230,2003
Sensor,1767954745212042,1767954747560321,2348279,2003
Sensor,1767954745412042,1767954747769712,2357670,2002
Sensor,1767954745612042,1767954747978439,2366397,2003
Sensor,1767954745812042,1767954748188519,2376477,2004
Sensor,1767954746012042,1767954748396526,2384484,2001
Sensor,1767954746212042,1767954748611003,2398961,2001
Sensor,1767954746412042,1767954748820531,2408489,2002
Sensor,1767954746612042,1767954749028689,2416647,2002
Sensor,1767954746812042,1767954749238072,2426030,2002
Sensor,1767954747012042,1767954749446891,2434849,2002
Sensor,1767954747212042,1767954749660242,2448200,2001
Sensor,1767954747412042,1767954749868927,2456885,2002
Sensor,1767954747612042,1767954750077473,2465431,2002
Sensor,1767954747812042,1767954750285568,2473526,2002
Sensor,1767954748012042,1767954750493817,2481775,2003
Sensor,1767954748212042,1767954750706066,2494024,2002
Sensor,1767954748412042,1767954750914915,2502873,2002
Sensor,1767954748612042,1767954751123448,2511406,2002
Sensor,1767954748812042,1767954751332212,2520170,2004
Sensor,1767954749012042,1767954751540937,2528895,2001
Sensor,1767954749212042,1767954751753553,2541511,2002
Sensor,1767954749412042,1767954751963245,2551203,2004
Sensor,1767954749612042,1767954752172302,2560260,2002
Sensor,1767954749812042,1767954752379909,2567867,2003
Sensor,1767954750012042,1767954752588884,2576842,2003
Sensor,1767954750212042,1767954752800243,2588201,2000
Sensor,1767954750412042,1767954753009243,2597201,2004
Sensor,1767954750612042,1767954753220095,2608053,2040
Sensor,1767954750812042,1767954753429128,2617086,2004
Sensor,1767954751012042,1767954753637241,2625199,2003
Sensor,1767954751212042,1767954753851223,2639181,2002
Sensor,1767954751412042,1767954754060929,2648887,2002
Sensor,1767954751612042,1767954754269662,2657620,2004
Sensor,1767954751812042,1767954754477986,2665944,2006
Sensor,1767954752012042,1767954754685755,2673713,2002
Sensor,1767954752212042,1767954754898641,2686599,2002
Sensor,1767954752412042,1767954755107809,2695767,2000
Sensor,1767954752612042,1767954755316409,2704367,2005
Sensor,1767954752812042,1767954755525810,2713768,2004
Sensor,1767954753012042,1767954755733578,2721536,2002
Sensor,1767954753212042,1767954755947450,2735408,2001
Sensor,1767954753412042,1767954756158690,2746648,2004
Sensor,1767954753612042,1767954756365238,2753196,2004
Sensor,1767954753812042,1767954756574808,2762766,2002
Sensor,1767954754012042,1767954756783450,2771408,2004
Sensor,1767954754212042,1767954756997534,2785492,2002
Sensor,1767954754412042,1767954757208060,2796018,2003
Sensor,1767954754612042,1767954757417148,2805106,2005
Sensor,1767954754812042,1767954757625646,2813604,2002
Sensor,1767954755012042,1767954757833821,2821779,2002
Sensor,1767954755212042,1767954758047563,2835521,2001
Sensor,1767954755412042,1767954758256839,2844797,2004
Sensor,1767954755612042,1767954758466491,2854449,2004
Sensor,1767954755812042,1767954758678128,2866086,2004
Sensor,1767954756012042,1767954758885980,2873938,2003
Sensor,1767954756212042,1767954759098969,2886927,2002
Sensor,1767954756412042,1767954759308618,2896576,2002
Sensor,1767954756612042,1767954759516901,2904859,2005
Sensor,1767954756812042,1767954759725557,2913515,2005
Sensor,1767954757012042,1767954759934661,2922619,2006
Sensor,1767954757212042,1767954760151761,2939719,2001
Sensor,1767954757412042,1767954760362053,2950011,2004
Sensor,1767954757612042,1767954760569310,2957268,2002
Sensor,1767954757812042,1767954760779483,2967441,2005
Sensor,1767954758012042,1767954760989391,2977349,2006
Sensor,1767954758212042,1767954761203781,2991739,2000
Sensor,1767954758412042,1767954761414176,3002134,2006
Sensor,1767954758612042,1767954761624278,3012236,2005
Sensor,1767954758812042,1767954761833537,3021495,2000
Sensor,1767954759012042,1767954762044068,3032026,2002
Sensor,1767954759212042,1767954762256789,3044747,2002
Sensor,1767954759412042,1767954762465552,3053510,2003
Sensor,1767954759612042,1767954762675057,3063015,2002
Sensor,1767954759812042,1767954762883638,3071596,2005
Sensor,1767954760012042,1767954763092181,3080139,2002
Sensor,1767954760212042,1767954763306858,3094816,2002
Sensor,1767954760412042,1767954763516629,3104587,2003
Sensor,1767954760612042,1767954763724480,3112438,2002
Sensor,1767954760812042,1767954763933301,3121259,2003
Sensor,1767954761012042,1767954764141712,3129670,2002
Sensor,1767954761212042,1767954764355542,3143500,2002
Sensor,1767954761412042,1767954764565763,3153721,2003
Sensor,1767954761612042,1767954764773536,3161494,2002
Sensor,1767954761812042,1767954764982156,3170114,2002
Sensor,1767954762012042,1767954765190615,3178573,2002
Sensor,1767954762212042,1767954765403653,3191611,2001
Sensor,1767954762412042,1767954765613469,3201427,2003
Sensor,1767954762612042,1767954765821235,3209193,2019
Sensor,1767954762812042,1767954766027072,3215030,2001
