seq,t1_us,enqueue_us,tx_start_us,tx_end_us,srv_recv_us,ack_recv_us,rtt_us
116,1768313522643545,1768313522643546,1768313522643546,1768313522643664,1768313522694064,1768313522694253,50707
117,1768313522704606,1768313522704607,1768313522704608,1768313522704739,1768313522755417,1768313522755602,50994
118,1768313522765808,1768313522765809,1768313522765809,1768313522765890,,,
119,1768313522879465,1768313522879467,1768313522879467,1768313522879646,1768313522930054,1768313522930319,50852
120,1768313522940994,1768313522940996,1768313522940997,1768313522941177,,,
121,1768313523064097,1768313523064098,1768313523064098,1768313523064167,1768313523114918,1768313523115211,51113
122,1768313523125676,1768313523125677,1768313523125678,1768313523125858,1768313523176515,1768313523176823,51145
123,1768313523187347,1768313523187349,1768313523187350,1768313523187533,1768313523238041,1768313523238341,50991
124,1768313523248851,1768313523248852,1768313523248854,1768313523249040,1768313523299572,1768313523299878,51024
125,1768313523310333,1768313523310334,1768313523310335,1768313523310522,1768313523361158,1768313523361456,51121
126,1768313523371869,1768313523371871,1768313523371872,1768313523372065,1768313523422667,1768313523422975,51103
127,1768313523433451,1768313523433453,1768313523433454,1768313523433643,1768313523484302,1768313523484613,51159
128,1768313523495046,1768313523495048,1768313523495049,1768313523495249,1768313523545978,1768313523546324,51275
129,1768313523556721,1768313523556722,1768313523556724,1768313523556882,1768313523607495,1768313523607790,51066
130,1768313523618255,1768313523618256,1768313523618258,1768313523618435,1768313523669287,1768313523669585,51327
131,1768313523680504,1768313523680506,1768313523680508,1768313523680764,1768313523731678,1768313523732001,51493
132,1768313523742633,1768313523742634,1768313523742636,1768313523742823,1768313523793389,1768313523793696,51060
133,1768313523804181,1768313523804183,1768313523804184,1768313523804372,,,
134,1768313523929669,1768313523929671,1768313523929672,1768313523929862,,,
135,1768313524048811,1768313524048812,1768313524048813,1768313524049001,1768313524099702,1768313524099974,51161
136,1768313524110342,1768313524110343,1768313524110344,1768313524110414,1768313524160652,1768313524160773,50429
137,1768313524170885,1768313524170885,1768313524170885,1768313524170936,1768313524221302,1768313524221439,50554
138,1768313524231650,1768313524231651,1768313524231651,1768313524231714,1768313524282083,1768313524282170,50519
139,1768313524292498,1768313524292498,1768313524292499,1768313524292576,,,
140,1768313524418460,1768313524418461,1768313524418461,1768313524418588,1768313524468943,1768313524469148,50687
141,1768313524479665,1768313524479666,1768313524479667,1768313524479809,,,
142,1768313524599454,1768313524599455,1768313524599455,1768313524599580,,,
143,1768313524714759,1768313524714759,1768313524714760,1768313524714822,1768313524765492,1768313524765631,50871
144,1768313524775987,1768313524775988,1768313524775988,1768313524776073,,,
145,1768313524900114,1768313524900115,1768313524900116,1768313524900289,1768313524951137,1768313524951393,51277
146,1768313524961718,1768313524961721,1768313524961722,1768313524961905,1768313525012558,1768313525012741,51019
147,1768313525022868,1768313525022869,1768313525022870,1768313525022982,1768313525073202,1768313525073347,50477
148,1768313525083713,1768313525083713,1768313525083714,1768313525083781,1768313525134117,1768313525134225,50511
149,1768313525144706,1768313525144706,1768313525144706,1768313525144773,1768313525195183,1768313525195337,50631
150,1768313525205505,1768313525205505,1768313525205506,1768313525205624,1768313525256236,1768313525256375,50869
151,1768313525266851,1768313525266852,1768313525266852,1768313525266938,1768313525317570,1768313525317697,50845
152,1768313525327991,1768313525327991,1768313525327992,1768313525328065,1768313525378546,1768313525378822,50830
153,1768313525389087,1768313525389089,1768313525389089,1768313525389284,1768313525439499,1768313525439625,50536
154,1768313525450357,1768313525450357,1768313525450358,1768313525450430,,,
155,1768313525569784,1768313525569786,1768313525569787,1768313525570007,1768313525620348,1768313525620715,50928
156,1768313525631202,1768313525631204,1768313525631205,1768313525631407,1768313525682060,1768313525682276,51071
157,1768313525692591,1768313525692592,1768313525692593,1768313525692724,1768313525743002,1768313525743164,50571
158,1768313525753600,1768313525753601,1768313525753601,1768313525753730,1768313525804079,1768313525804287,50686
159,1768313525814576,1768313525814576,1768313525814577,1768313525814680,,,
160,1768313525935336,1768313525935337,1768313525935337,1768313525935435,1768313525985980,1768313525986282,50945
161,1768313525997281,1768313525997283,1768313525997285,1768313525997476,1768313526047859,1768313526048165,50880
162,1768313526058564,1768313526058566,1768313526058567,1768313526058764,1768313526109594,1768313526109833,51266
163,1768313526120315,1768313526120316,1768313526120317,1768313526120521,1768313526171260,1768313526171571,51254
164,1768313526182032,1768313526182035,1768313526182036,1768313526182275,1768313526233168,1768313526233420,51384
165,1768313526243897,1768313526243898,1768313526243899,1768313526244038,,,
166,1768313526372583,1768313526372585,1768313526372586,1768313526372773,1768313526423488,1768313526423803,51217
167,1768313526434186,1768313526434188,1768313526434190,1768313526434374,,,
168,1768313526551076,1768313526551077,1768313526551078,1768313526551284,1768313526601811,1768313526602120,51042
169,1768313526612672,1768313526612673,1768313526612675,1768313526612863,1768313526663785,1768313526664095,51420
170,1768313526674491,1768313526674492,1768313526674494,1768313526674681,1768313526724941,1768313526725144,50650
171,1768313526735796,1768313526735797,1768313526735798,1768313526735915,1768313526786642,1768313526786953,51155
172,1768313526797464,1768313526797465,1768313526797467,1768313526797662,,,
173,1768313526920841,1768313526920841,1768313526920842,1768313526921002,1768313526971383,1768313526971636,50794
174,1768313526982120,1768313526982121,1768313526982122,1768313526982290,1768313527032846,1768313527033169,51047
175,1768313527043639,1768313527043641,1768313527043642,1768313527043828,,,
176,1768313527154797,1768313527154798,1768313527154800,1768313527154987,1768313527205536,1768313527205845,51045
177,1768313527216328,1768313527216329,1768313527216330,1768313527216520,1768313527267373,1768313527267589,51259
178,1768313527277990,1768313527277991,1768313527277991,1768313527278183,1768313527329000,1768313527329272,51281
179,1768313527339623,1768313527339623,1768313527339624,1768313527339716,1768313527390420,1768313527390719,51095
180,1768313527401235,1768313527401237,1768313527401238,1768313527401430,1768313527451917,1768313527452195,50957
181,1768313527462801,1768313527462803,1768313527462804,1768313527463000,1768313527513537,1768313527513845,51041
182,1768313527524313,1768313527524315,1768313527524316,1768313527524505,,,
183,1768313527638216,1768313527638217,1768313527638219,1768313527638406,,,
184,1768313527754791,1768313527754792,1768313527754793,1768313527754981,1768313527805768,1768313527806063,51270
185,1768313527816520,1768313527816522,1768313527816523,1768313527816700,1768313527867418,1768313527867711,51188
186,1768313527878172,1768313527878174,1768313527878176,1768313527878366,1768313527928886,1768313527929195,51019
187,1768313527939659,1768313527939661,1768313527939662,1768313527939858,1768313527990754,1768313527991063,51401
188,1768313528001530,1768313528001531,1768313528001533,1768313528001722,1768313528052268,1768313528052578,51045
189,1768313528063042,1768313528063043,1768313528063044,1768313528063232,1768313528113766,1768313528114100,51056
190,1768313528124668,1768313528124670,1768313528124671,1768313528124859,1768313528175546,1768313528175858,51187
191,1768313528186755,1768313528186757,1768313528186758,1768313528186947,1768313528237491,1768313528237798,51040
192,1768313528248268,1768313528248270,1768313528248271,1768313528248460,1768313528299272,1768313528299568,51297
193,1768313528310122,1768313528310123,1768313528310124,1768313528310336,1768313528360773,1768313528361067,50943
194,1768313528371536,1768313528371538,1768313528371539,1768313528371717,,,
195,1768313528494905,1768313528494906,1768313528494907,1768313528495045,1768313528545661,1768313528545984,51077
196,1768313528556463,1768313528556464,1768313528556465,1768313528556652,1768313528607368,1768313528607635,51170
197,1768313528618116,1768313528618117,1768313528618119,1768313528618307,1768313528668861,1768313528669170,51051
198,1768313528679656,1768313528679658,1768313528679659,1768313528679847,1768313528730544,1768313528730854,51195
199,1768313528741355,1768313528741357,1768313528741358,1768313528741546,1768313528792069,1768313528792377,51019
200,1768313528803040,1768313528803041,1768313528803043,1768313528803228,1768313528853578,1768313528853897,50854
